epoch,strategy,arm,current reward,cumulative reward,optimal
1,Epsilon Greedy,0,62.48051287199128,62.48051287199128,False
2,Epsilon Greedy,0,60.037215826816634,122.51772869880791,False
3,Epsilon Greedy,0,62.68272441888056,185.20045311768848,False
4,Epsilon Greedy,0,62.883136798918336,248.08358991660683,False
5,Epsilon Greedy,0,60.675740025402796,308.75932994200963,False
6,Epsilon Greedy,0,64.36715740654049,373.1264873485501,False
7,Epsilon Greedy,0,59.581797701298214,432.7082850498483,False
8,Epsilon Greedy,0,62.64882075539432,495.3571058052426,False
9,Epsilon Greedy,2,54.59125694859623,549.9483627538389,False
10,Epsilon Greedy,0,62.700666501284424,612.6490292551233,False
11,Epsilon Greedy,0,61.778740550748005,674.4277698058713,False
12,Epsilon Greedy,0,63.52973277596519,737.9575025818365,False
13,Epsilon Greedy,0,61.6624539292526,799.6199565110891,False
14,Epsilon Greedy,3,180.82137513477815,980.4413316458672,False
15,Epsilon Greedy,3,180.3427207764551,1160.7840524223222,False
16,Epsilon Greedy,3,179.30993870548318,1340.0939911278053,False
17,Epsilon Greedy,3,181.15796888677883,1521.2519600145843,False
18,Epsilon Greedy,3,180.26121088045122,1701.5131708950355,False
19,Epsilon Greedy,3,181.97766503417643,1883.490835929212,False
20,Epsilon Greedy,3,179.67176545387227,2063.162601383084,False
21,Epsilon Greedy,3,180.91933463549262,2244.081936018577,False
22,Epsilon Greedy,3,182.60997031343237,2426.6919063320092,False
23,Epsilon Greedy,3,180.786219649843,2607.4781259818524,False
24,Epsilon Greedy,3,179.34789533466122,2786.8260213165136,False
25,Epsilon Greedy,3,179.1191905056924,2965.945211822206,False
26,Epsilon Greedy,3,182.6772972004001,3148.622509022606,False
27,Epsilon Greedy,3,179.45873034062595,3328.0812393632323,False
28,Epsilon Greedy,3,179.10206511762192,3507.183304480854,False
29,Epsilon Greedy,3,179.4512043267079,3686.634508807562,False
30,Epsilon Greedy,3,182.05414665483,3868.6886554623916,False
31,Epsilon Greedy,3,179.31432775844553,4048.002983220837,False
32,Epsilon Greedy,3,181.55974466290985,4229.562727883746,False
33,Epsilon Greedy,3,180.88430610082756,4410.447033984574,False
